19069.08 ; 120.0522 ; 51.6898 ; 51.7067
19069.05 ; 120.0520 ; 51.6893 ; 51.7062
19069.05 ; 120.0520 ; 51.6893 ; 51.7062
19069.30 ; 120.0536 ; 51.6934 ; 51.7102
28650.39 ; 180.3728 ; 212.2796 ; 212.3539
32767.00 ; 206.2895 ; 283.6604 ; ovf
32767.00 ; 206.2895 ; 283.6604 ; ovf
32767.00 ; 206.2895 ; 283.6604 ; ovf
32767.00 ; 206.2895 ; 283.6604 ; ovf
32767.00 ; 206.2895 ; 283.6604 ; ovf
32767.00 ; 206.2895 ; 283.6604 ; ovf
33088.41 ; 208.3130 ; 289.2938 ; ovf
15902.31 ; 100.1154 ; 0.3188 ; 0.2953
15903.83 ; 100.1249 ; 0.3432 ; 0.3197
15903.89 ; 100.1253 ; 0.3442 ; 0.3207
15903.97 ; 100.1258 ; 0.3454 ; 0.3220
15903.98 ; 100.1259 ; 0.3457 ; 0.3222
15903.98 ; 100.1259 ; 0.3457 ; 0.3222
15904.00 ; 100.1260 ; 0.3459 ; 0.3225
15903.92 ; 100.1255 ; 0.3447 ; 0.3212
15903.95 ; 100.1257 ; 0.3452 ; 0.3217
15903.89 ; 100.1253 ; 0.3442 ; 0.3207
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
15903.92 ; 100.1255 ; 0.3447 ; 0.3212
15903.83 ; 100.1249 ; 0.3432 ; 0.3197
15903.84 ; 100.1250 ; 0.3434 ; 0.3199
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.81 ; 100.1248 ; 0.3429 ; 0.3194
15903.91 ; 100.1254 ; 0.3444 ; 0.3209
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
15903.78 ; 100.1246 ; 0.3424 ; 0.3189
15903.84 ; 100.1250 ; 0.3434 ; 0.3199
15903.80 ; 100.1247 ; 0.3427 ; 0.3192
15903.73 ; 100.1243 ; 0.3417 ; 0.3182
15903.83 ; 100.1249 ; 0.3432 ; 0.3197
15903.83 ; 100.1249 ; 0.3432 ; 0.3197
15903.81 ; 100.1248 ; 0.3429 ; 0.3194
15903.69 ; 100.1240 ; 0.3409 ; 0.3174
15903.78 ; 100.1246 ; 0.3424 ; 0.3189
15903.63 ; 100.1236 ; 0.3399 ; 0.3164
15903.63 ; 100.1236 ; 0.3399 ; 0.3164
15903.73 ; 100.1243 ; 0.3417 ; 0.3182
15903.72 ; 100.1242 ; 0.3414 ; 0.3179
15903.75 ; 100.1244 ; 0.3419 ; 0.3184
15903.66 ; 100.1238 ; 0.3404 ; 0.3169
15903.69 ; 100.1240 ; 0.3409 ; 0.3174
15903.72 ; 100.1242 ; 0.3414 ; 0.3179
15903.81 ; 100.1248 ; 0.3429 ; 0.3194
15903.77 ; 100.1245 ; 0.3422 ; 0.3187
15903.80 ; 100.1247 ; 0.3427 ; 0.3192
15903.77 ; 100.1245 ; 0.3422 ; 0.3187
15903.78 ; 100.1246 ; 0.3424 ; 0.3189
15903.75 ; 100.1244 ; 0.3419 ; 0.3184
15903.80 ; 100.1247 ; 0.3427 ; 0.3192
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.91 ; 100.1254 ; 0.3444 ; 0.3209
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.95 ; 100.1257 ; 0.3452 ; 0.3217
15903.78 ; 100.1246 ; 0.3424 ; 0.3189
15903.81 ; 100.1248 ; 0.3429 ; 0.3194
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.83 ; 100.1249 ; 0.3432 ; 0.3197
15903.86 ; 100.1251 ; 0.3437 ; 0.3202
15903.91 ; 100.1254 ; 0.3444 ; 0.3209
15903.84 ; 100.1250 ; 0.3434 ; 0.3199
15903.80 ; 100.1247 ; 0.3427 ; 0.3192
15903.89 ; 100.1253 ; 0.3442 ; 0.3207
15903.84 ; 100.1250 ; 0.3434 ; 0.3199
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
15903.88 ; 100.1252 ; 0.3439 ; 0.3204
